2019-03-28 15:05:00-04:00,2019-03-28 18:09:00-04:00,Citizens Bank Park
2019-03-28 16:10:00-04:00,2019-03-28 18:28:00-04:00,Petco Park
2019-03-28 19:10:00-04:00,2019-03-28 22:44:00-04:00,T-Mobile Park
2019-03-28 16:00:00-04:00,2019-03-28 18:38:00-04:00,Tropicana Field
2019-03-28 16:05:00-04:00,2019-03-28 19:12:00-04:00,Globe Life Park in Arlington
2019-03-28 15:37:00-04:00,2019-03-28 18:02:00-04:00,Rogers Centre
2019-03-28 13:05:00-04:00,2019-03-28 15:49:00-04:00,Nationals Park
2019-03-29 22:10:00-04:00,2019-03-30 04:15:00-04:00,Dodger Stadium
2019-03-29 19:10:00-04:00,2019-03-29 22:14:00-04:00,Marlins Park
2019-03-29 20:10:00-04:00,2019-03-29 23:51:00-04:00,Miller Park
